geneNames	GSM1339618	GSM1339619	GSM1339620	GSM1339621	GSM1339622	GSM1339623	GSM1339624	GSM1339625	GSM1339626	GSM1339627	GSM1339628	GSM1339629	GSM1339630	GSM1339631	GSM1339632	GSM1339633
XPNPEP3	74.7	33.6	73.2	152.9	90.9	89.4	87.1	130.3	96.4	124	109.9	138.3	120.1	60.1	201.2	113.1
XPO1	1950.4	1585.4	1556.4	1931.1	1208	1673.1	1852.9	1202	1591.1	1796.1	1275.8	1833.1	1630.6	1481.7	1767.4	1638.8
XPO4	113.5	111	128.6	96.1	101.3	118.3	142.8	138	138.1	123.2	118.2	111.2	116.7	66.9	123.2	120.6
XPO6	1048.6	957.25	1008.85	1035.95	1238.25	953.7	1216.65	1067.95	1240.3	1167.75	999	824.75	881.1	907.2	984.35	855.4
XPO7	493.65	863.35	886.35	758.8	863.65	704.9	720.8	630.7	711.6	734.1	693.75	955.15	916.3	719.1	845.15	781.85
XPOT	646.1	461.6	452	460.7	494.9	422.2	756.2	396.8	612.1	703.3	424.7	436.2	433.6	809.7	495.9	752.1
XRCC1	225.9	167.6	180	158.4	205.8	232.1	179.9	239	184.9	248.1	232.1	165.2	156.1	355.1	221.8	143.7
XRCC2	170	79.1	137.2	176.4	63.5	260.9	122.4	135.1	55.1	74.5	85.7	131.4	223	146.5	107.4	149.3
XRCC3	104.4	23	52.5	36.3	90	16.5	79	59.4	98.4	36.6	79.6	43.6	60.6	32.2	57.1	52.6
XRCC4	79.85	87.15	95.575	91.225	132.35	117	150.8	113.175	113.8	131	92.425	107.875	92.675	102.1	91.8	116.675
XRCC5	2422.5	2705.45	2768.35	2705.85	2889.45	2381.35	2725.35	2734.7	3270	2618.75	2778.2	2391.9	2338.75	2321.35	2439.95	2515.25
XRCC6	1485.15	1513.25	1557.35	1613.8	1633.05	1692.25	1793.55	1603.3	1575.95	1928.6	1437.6	1682.5	1685.4	1780.9	1824	1763.45
