geneNames	GSM5176138	GSM5176139	GSM5176140	GSM5176141	GSM5176142	GSM5176143	GSM5176144	GSM5176145	GSM5176146	GSM5176147	GSM5176148
LCAT	13.5788	68.11215	35.2968	15.55075	33.0698	44.59195	93.10975	83.8158	12.20962	25.56565	12.8815
LCE2B	23.6552	175.256	46.1924	17.2761	68.5231	81.7058	29.9467	98.293	39.8679	87.6814	32.0165
LCK	49.6825	192.7437	86.75955	24.4962	37.86095	81.2692	111.9831	143.3439	63.5602	81.3468	50.4331
LCMT1	351.63	1609.68	585.633	599.965	654.803	318.625	434.398	858.934	648.494	657.691	443.748
LCMT2	128.29195	391.75875	186.54285	178.4933	156.04248	222.48225	175.34605	365.84415	274.96525	311.6406	108.56379
LCN1	26.9421	165.934	86.0781	64.4732	97.4581	350.126	257.268	296.855	120.241	116.094	36.4606
LCN2	755.759	1175.2	276.603	168.658	431.634	326.182	475.562	356.882	1058.47	146.071	54.8001
LCP1	212.026	138.974	138.651	43.91	110.575	357.982	235.09	470.13	123.662	54.8463	85.3748
LCP2	52.6099	65.32435	44.0495	45.273705	15.04795	102.39825	46.48405	76.6064	57.76235	117.006	27.75385
LCT	149.508	473.865	208.981	144.654	149.686	266.022	321.29	696.547	297.173	305.78	138.308
LDB1	324.3025	1052.7715	310.2435	272.3775	325.5845	143.5556	334.901	751.404	149.0037	318.2335	137.51165
LDB2	19.6055	76.5756	58.7685	9.77861	6.56044	19.1985	19.1571	60.9675	37.0464	6.62601	2.80006
LDB3	101.7385	261.3395	69.1361	80.50015	41.738475	58.11485	70.1809	199.6606	62.8683	75.385725	46.2536
LDHA	22503.5	27832.9	28109.2	29142.9	30999	24298.4	22481.4	30658.5	22067.1	27052.5	15408.8
LDHAL6B	12.8403	153.988	19.2984	114.427	33.0992	120.291	112.746	269.627	68.1127	45.1927	54.4409
LDHB	3584.08	10950.845	4601.68	3342.295	4056.14	3208.425	3078.4	8944.55	3098.935	3474.365	2275.99
