"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Eccentricity","EdgeCount","Indegree","IsSingleNode","name","NeighborhoodConnectivity","Outdegree","PartnerOfMultiEdgedNodePairs","selected","SelfLoops","shared name","Stress"
"0.0","0.0","0.0","0.0","0","1","1","false","hsa-miR-4254","20.0","0","0","false","0","hsa-miR-4254","0"
"0.0","0.0","0.0","0.0","0","1","1","false","hsa-miR-3150a-3p","38.0","0","0","false","0","hsa-miR-3150a-3p","0"
"0.0","0.0","0.0","0.0","0","1","1","false","hsa-miR-4283","38.0","0","0","false","0","hsa-miR-4283","0"
"0.0","0.0","0.0","0.0","0","1","1","false","hsa-miR-200b-3p","55.0","0","0","false","0","hsa-miR-200b-3p","0"
"0.0","0.0","0.0","0.0","0","1","1","false","hsa-miR-548d-5p","37.0","0","0","false","0","hsa-miR-548d-5p","0"
"0.0","0.0","0.0","0.0","0","2","2","false","hsa-miR-509-3-5p","28.0","0","0","false","0","hsa-miR-509-3-5p","0"
"0.0","0.0","0.0","0.0","0","2","2","false","hsa-miR-130b-5p","28.0","0","0","false","0","hsa-miR-130b-5p","0"
"0.0","0.0","0.0","0.0","0","1","1","false","hsa-miR-298","38.0","0","0","false","0","hsa-miR-298","0"
"0.0","0.0","0.0","0.0","0","1","1","false","hsa-let-7f-5p","38.0","0","0","false","0","hsa-let-7f-5p","0"
"0.0","0.0","0.0","0.0","0","2","2","false","hsa-miR-31-5p","29.5","0","0","false","0","hsa-miR-31-5p","0"
"0.0","0.0","0.0","0.0","0","2","2","false","hsa-miR-9-5p","28.0","0","0","false","0","hsa-miR-9-5p","0"
"0.0","0.0","0.0","0.0","0","4","4","false","hsa-miR-455-3p","19.666666666666668","0","1","false","0","hsa-miR-455-3p","0"
"0.0","0.0","0.0","0.0","0","1","1","false","hsa-miR-323b-3p","20.0","0","0","false","0","hsa-miR-323b-3p","0"
"0.0","0.0","0.0","0.0","0","1","1","false","hsa-miR-105-5p","20.0","0","0","false","0","hsa-miR-105-5p","0"
"0.0","0.0","0.0","0.0","0","1","1","false","hsa-miR-4329","38.0","0","0","false","0","hsa-miR-4329","0"
"0.0","0.0","0.0","0.0","0","1","1","false","hsa-miR-142-5p","37.0","0","0","false","0","hsa-miR-142-5p","0"
"0.0","0.0","0.0","0.0","0","2","2","false","hsa-miR-622","28.0","0","0","false","0","hsa-miR-622","0"
"0.0","0.0","0.0","0.0","0","1","1","false","hsa-miR-548w","37.0","0","0","false","0","hsa-miR-548w","0"
"0.0","0.0","0.0","0.0","0","2","2","false","hsa-miR-186-3p","28.0","0","0","false","0","hsa-miR-186-3p","0"
"0.0","0.0","0.0","0.0","0","1","1","false","hsa-miR-98-5p","38.0","0","0","false","0","hsa-miR-98-5p","0"
"0.0","0.0","0.0","0.0","0","2","2","false","hsa-miR-548x-3p","46.0","0","0","false","0","hsa-miR-548x-3p","0"
"0.0","0.0","0.0","0.0","0","1","1","false","hsa-miR-1909-3p","37.0","0","0","false","0","hsa-miR-1909-3p","0"
"0.0","0.0","0.0","0.0","0","1","1","false","hsa-miR-2053","20.0","0","0","false","0","hsa-miR-2053","0"
"0.0","0.0","0.0","0.0","0","1","1","false","hsa-miR-4282","37.0","0","0","false","0","hsa-miR-4282","0"
"0.0","0.0","0.0","0.0","0","1","1","false","hsa-let-7g-5p","38.0","0","0","false","0","hsa-let-7g-5p","0"
"0.0","0.0","0.0","0.0","0","2","2","false","hsa-miR-765","19.5","0","0","false","0","hsa-miR-765","0"
"0.0","0.0","0.0","0.0","0","1","1","false","hsa-miR-4328","55.0","0","0","false","0","hsa-miR-4328","0"
"0.0","0.0","0.0","0.0","0","1","1","false","hsa-miR-4256","37.0","0","0","false","0","hsa-miR-4256","0"
"0.0","0.0","0.0","0.0","0","1","1","false","hsa-miR-1255a","38.0","0","0","false","0","hsa-miR-1255a","0"
"0.0","0.0","0.0","0.0","0","1","1","false","hsa-let-7b-5p","38.0","0","0","false","0","hsa-let-7b-5p","0"
"0.0","0.0","0.0","0.0","0","1","1","false","hsa-miR-583","55.0","0","0","false","0","hsa-miR-583","0"
"0.0","0.0","0.0","0.0","0","2","2","false","hsa-miR-875-3p","28.0","0","0","false","0","hsa-miR-875-3p","0"
"0.0","0.0","0.0","0.0","0","1","1","false","hsa-miR-4277","37.0","0","0","false","0","hsa-miR-4277","0"
"0.0","0.0","0.0","0.0","0","1","1","false","hsa-miR-4303","37.0","0","0","false","0","hsa-miR-4303","0"
"0.0","0.0","0.0","0.0","0","2","2","false","hsa-miR-618","28.0","0","0","false","0","hsa-miR-618","0"
"0.0","0.0","0.0","0.0","0","1","1","false","hsa-miR-509-5p","55.0","0","0","false","0","hsa-miR-509-5p","0"
"0.0","0.0","0.0","0.0","0","2","2","false","hsa-miR-450b-5p","28.5","0","0","false","0","hsa-miR-450b-5p","0"
"0.0","0.0","0.0","0.0","0","1","1","false","hsa-miR-4311","37.0","0","0","false","0","hsa-miR-4311","0"
"0.0","0.0","0.0","0.0","0","2","2","false","hsa-miR-558","19.5","0","0","false","0","hsa-miR-558","0"
"0.0","0.0","0.0","0.0","0","2","2","false","hsa-miR-2355-5p","19.0","0","0","false","0","hsa-miR-2355-5p","0"
"0.0","0.0","0.0","0.0","0","1","1","false","hsa-miR-4297","37.0","0","0","false","0","hsa-miR-4297","0"
"0.0","0.0","0.0","0.0","0","2","2","false","hsa-miR-590-3p","10.5","0","0","false","0","hsa-miR-590-3p","0"
"0.0","0.0","0.0","0.0","0","1","1","false","hsa-miR-4251","37.0","0","0","false","0","hsa-miR-4251","0"
"0.0","0.0","0.0","0.0","0","1","1","false","hsa-miR-1304-5p","55.0","0","0","false","0","hsa-miR-1304-5p","0"
"0.0","0.0","0.0","0.0","0","1","1","false","hsa-miR-3121-3p","38.0","0","0","false","0","hsa-miR-3121-3p","0"
"0.0","0.0","0.0","0.0","0","1","1","false","hsa-miR-4255","20.0","0","0","false","0","hsa-miR-4255","0"
"0.0","0.0","0.0","0.0","0","1","1","false","hsa-miR-2052","37.0","0","0","false","0","hsa-miR-2052","0"
"0.0","0.0","0.0","0.0","0","1","1","false","hsa-miR-548n","37.0","0","0","false","0","hsa-miR-548n","0"
"0.0","0.0","0.0","0.0","0","1","1","false","hsa-miR-548a-3p","20.0","0","0","false","0","hsa-miR-548a-3p","0"
"0.0","0.0","0.0","0.0","0","1","1","false","hsa-miR-338-5p","37.0","0","0","false","0","hsa-miR-338-5p","0"
"0.0","0.0","0.0","0.0","0","1","1","false","hsa-miR-3137","55.0","0","0","false","0","hsa-miR-3137","0"
