"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"KDELR3.2",1.06855004140501e-58,-0.849890697247922,0.027,0.479,2.28851362367712e-54,"DC","KDELR3"
"FYB.2",1.16929873779231e-58,0.472148634134475,0.299,0.07,2.50428710672978e-54,"DC","FYB"
"GSN.2",1.62919710459036e-58,-1.50394460433257,0.801,0.935,3.48925143890117e-54,"DC","GSN"
"CHCHD2.2",1.91901593793495e-58,-0.63309014960665,0.906,0.972,4.10995643427528e-54,"DC","CHCHD2"
"JARID2",3.58030511440869e-58,0.625813152480278,0.361,0.108,7.66793946352909e-54,"DC","JARID2"
"UPP1.2",5.33348786981076e-58,0.879943369232669,0.58,0.271,1.14227309707737e-53,"DC","UPP1"
"GNG12.2",5.53079175292155e-58,-0.749433566280368,0.04,0.494,1.18452966972321e-53,"DC","GNG12"
"ARPC3.2",8.00231114987854e-58,0.653038562520093,0.949,0.883,1.71385497896949e-53,"DC","ARPC3"
"CRIP2.1",8.62214980819634e-58,-0.998068580078413,0.388,0.777,1.84660582442141e-53,"DC","CRIP2"
"GPAA1.2",1.95259776609282e-57,-0.771656119527283,0.175,0.629,4.18187863564098e-53,"DC","GPAA1"
"RAPGEF1",2.01644071279562e-57,0.602105806860011,0.367,0.112,4.31861107459439e-53,"DC","RAPGEF1"
"YIF1A.2",2.65079872149785e-57,-0.839368092837276,0.189,0.635,5.67721562183195e-53,"DC","YIF1A"
"BRK1.2",4.16932257667401e-57,-0.711183747248267,0.606,0.886,8.92943816246272e-53,"DC","BRK1"
"MORF4L1.2",4.268725005274e-57,-0.647388259091098,0.879,0.961,9.14232834379532e-53,"DC","MORF4L1"
"TMED2.2",5.07938784707974e-57,-0.781654048969177,0.539,0.86,1.08785249520907e-52,"DC","TMED2"
"MPG.2",5.24916826086933e-57,-0.757033413547435,0.173,0.626,1.12421436643038e-52,"DC","MPG"
"ARL1.2",5.39451132400813e-57,-0.766817380186051,0.132,0.584,1.15534249026282e-52,"DC","ARL1"
"OPTN.2",5.65161355123754e-57,-0.764524142444463,0.1,0.564,1.21040607426854e-52,"DC","OPTN"
"LAMTOR5.2",6.96433829581474e-57,-0.753748464002445,0.496,0.838,1.49155233281464e-52,"DC","LAMTOR5"
"GYPC.1",7.88645914950369e-57,-0.816572691698224,0.148,0.614,1.68904295604921e-52,"DC","GYPC"
"CLEC2B.2",1.06337329299088e-56,0.798878404079773,0.456,0.158,2.27742658159857e-52,"DC","CLEC2B"
"TMEM100.2",1.60603112426314e-56,-1.00952166940801,0.013,0.452,3.43963685883436e-52,"DC","TMEM100"
"ISG20",1.66765995210995e-56,1.03927483182472,0.458,0.183,3.57162731943389e-52,"DC","ISG20"
"NT5E.2",2.71582074680407e-56,-0.785649949282669,0.059,0.501,5.81647329343029e-52,"DC","NT5E"
"AHI1.2",4.42473606332419e-56,-0.836970114052183,0.213,0.654,9.47645722682142e-52,"DC","AHI1"
"RCN1.2",8.10072299023763e-56,-0.763543499595441,0.084,0.532,1.73493184281919e-51,"DC","RCN1"
"ERH.2",8.27368257840523e-56,-0.744860893142557,0.437,0.824,1.77197459781705e-51,"DC","ERH"
"ENTPD1.2",1.1842689792065e-55,0.462429807584205,0.315,0.08,2.53634887276655e-51,"DC","ENTPD1"
"POLR2L",1.25301319804984e-55,-0.696225758963719,0.787,0.946,2.68357836626334e-51,"DC","POLR2L"
"CBR3.2",1.71981830592089e-55,-0.875102098633247,0.07,0.515,3.68333486579078e-51,"DC","CBR3"
"COX5B",1.7349481191203e-55,-0.656612523144686,0.666,0.913,3.71573838671994e-51,"DC","COX5B"
"ROMO1.1",1.84243061732925e-55,-0.753227108814447,0.423,0.798,3.94593365313405e-51,"DC","ROMO1"
"MAP4.2",2.06532611911908e-55,-0.747112602000555,0.175,0.643,4.42330894931734e-51,"DC","MAP4"
"OAT.2",2.54098470345357e-55,-0.822428961747814,0.278,0.695,5.44202693938651e-51,"DC","OAT"
"CTB-58E17.1",2.8754422652191e-55,0.478743258670848,0.253,0.058,6.15833469941975e-51,"DC","CTB-58E17.1"
"PKIG.2",3.17552680879304e-55,-0.718370268762373,0.057,0.497,6.80102576639205e-51,"DC","PKIG"
"SIPA1L1",4.38880829179396e-55,0.742591769801392,0.477,0.197,9.39951071853513e-51,"DC","SIPA1L1"
"MAP2K1.2",5.4347125521435e-55,0.71994866745005,0.456,0.177,1.16395238729257e-50,"DC","MAP2K1"
