"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"RPS121",2.51141756155568e-50,0.422131221908418,1,0.999,5.37870299158379e-46,"9","RPS12"
"RPS232",1.17797974069943e-49,0.416731973927925,1,0.999,2.52287921065597e-45,"9","RPS23"
"RPL19",1.26591248101649e-49,0.380303194124062,1,0.999,2.71120476059302e-45,"9","RPL19"
"SEC14L1",1.62267020502352e-49,0.585420028936923,0.543,0.237,3.47527277809888e-45,"9","SEC14L1"
"RPL27A",1.92447159262218e-49,0.378921129677404,1,0.999,4.12164080991892e-45,"9","RPL27A"
"IFIT1",2.41851999241168e-49,0.604556973895802,0.32,0.09,5.17974426774809e-45,"9","IFIT1"
"HOXD8",2.97214297166296e-49,0.4978458303522,0.379,0.122,6.36543860241056e-45,"9","HOXD8"
"GNAI21",5.12152526316456e-49,0.791496736111756,0.788,0.564,1.09687706561195e-44,"9","GNAI2"
"RPL392",2.50232052986619e-48,0.34418779447833,1,0.998,5.35921987881441e-44,"9","RPL39"
"MYL12B1",2.94686004755213e-48,0.718085479491707,0.969,0.927,6.31129016384239e-44,"9","MYL12B"
"FABP52",6.27563892850595e-48,1.15302585978174,0.51,0.212,1.34405358931812e-43,"9","FABP5"
"RPL122",7.0548770608265e-48,0.442176355149099,1,0.999,1.51094302011721e-43,"9","RPL12"
"MTRNR2L13",1.59369420052359e-47,1.52220670203581,0.476,0.192,3.41321486926137e-43,"9","MTRNR2L1"
"SERBP11",2.81777905846783e-47,0.647483770581756,0.905,0.849,6.03483740952055e-43,"9","SERBP1"
"CARD8",5.52790631769836e-47,0.414030765691811,0.298,0.081,1.18391169606146e-42,"9","CARD8"
"UBN1",9.86117070464865e-47,0.333635437764042,0.298,0.08,2.1119669298146e-42,"9","UBN1"
"ELF11",1.51386119547478e-46,0.822160897609854,0.744,0.522,3.24223652234835e-42,"9","ELF1"
"LAPTM4B",3.57580881994897e-46,0.425572737861119,0.337,0.104,7.65830974968471e-42,"9","LAPTM4B"
"MSRA",4.7669150370147e-46,0.32775449114099,0.262,0.065,1.02093019347744e-41,"9","MSRA"
"FRMD4B2",6.77776900529826e-46,0.589805987868878,0.588,0.263,1.45159478786473e-41,"9","FRMD4B"
"GSN3",7.10081881867144e-46,0.574063067679512,0.983,0.928,1.52078236639486e-41,"9","GSN"
"RPL271",7.69808980526087e-46,0.386846062521866,1,0.996,1.64869989359272e-41,"9","RPL27"
"JAG1",9.6242177101012e-46,0.509584025595943,0.373,0.124,2.06121870697238e-41,"9","JAG1"
"RPL241",1.19710491357126e-45,0.399795836356027,0.994,0.996,2.56383959339556e-41,"9","RPL24"
"RPL6",1.85884747337365e-45,0.383245262845059,1,0.998,3.98109363372435e-41,"9","RPL6"
"ZFP36L22",2.18240768466583e-45,0.829577761272,0.811,0.581,4.67406253824881e-41,"9","ZFP36L2"
"RPL171",3.63811533609849e-45,0.793633417743911,0.936,0.836,7.79175161532215e-41,"9","RPL17"
"GNB2L11",5.36005813495809e-45,0.404171645766791,0.997,0.996,1.14796365076397e-40,"9","GNB2L1"
"XAF1",6.9201584866616e-45,0.410098769133858,0.318,0.094,1.48209034308831e-40,"9","XAF1"
"CPNE8",1.12092702512953e-44,0.548924359935693,0.476,0.193,2.40068940971992e-40,"9","CPNE8"
"UCK2",1.7158410162245e-44,0.256032546977942,0.253,0.063,3.67481670444802e-40,"9","UCK2"
"YBX12",1.76235539067013e-44,0.74052645300707,0.919,0.829,3.77443654019823e-40,"9","YBX1"
"MRPL33",2.35557491476861e-44,0.72947115922371,0.872,0.737,5.04493479495992e-40,"9","MRPL33"
"HNRNPA11",4.74205906247459e-44,0.49564629175115,0.994,0.976,1.01560678941018e-39,"9","HNRNPA1"
"RPS102",8.51872552087852e-44,0.566002434681509,0.978,0.971,1.82445544480655e-39,"9","RPS10"
"LAP31",1.22860340313633e-43,0.665200772767231,0.613,0.308,2.63129990849708e-39,"9","LAP3"
"RPS5",1.29945640229574e-43,0.430388762080293,0.994,0.996,2.78304577679679e-39,"9","RPS5"
"MLLT4",1.35292213896398e-43,0.406817383168385,0.357,0.117,2.89755334501915e-39,"9","MLLT4"
"TEAD2",2.41193637923143e-43,0.304740395852924,0.256,0.065,5.16564414339996e-39,"9","TEAD2"
"FXYD51",2.53621413674739e-43,0.555415705154477,0.958,0.827,5.43180981667189e-39,"9","FXYD5"
"SP100",3.4655771651315e-43,0.677911170490014,0.719,0.448,7.42222661456213e-39,"9","SP100"
"TAGLN23",5.44122373346196e-43,0.527075570376119,0.986,0.968,1.16534688699555e-38,"9","TAGLN2"
"PPFIBP13",2.52350686330329e-42,0.666938041869139,0.66,0.38,5.40459464913667e-38,"9","PPFIBP1"
"PTRF2",4.8057197657916e-42,0.691030672019509,0.953,0.805,1.02924100223959e-37,"9","PTRF"
"RAB13",4.81883450130513e-42,0.723468453724078,0.819,0.633,1.03204978514452e-37,"9","RAB13"
"TBC1D1",5.83744613594905e-42,0.410197043680878,0.379,0.132,1.25020583893621e-37,"9","TBC1D1"
"PLK21",1.16162162986973e-41,0.738437646783768,0.549,0.267,2.487845044692e-37,"9","PLK2"
"RPL72",1.24675270974114e-41,0.397107191607803,1,0.999,2.67017027845259e-37,"9","RPL7"
"FRYL",1.96588666927952e-41,0.420619203839556,0.382,0.132,4.21033947959596e-37,"9","FRYL"
"C8orf41",2.46790010730272e-41,0.427858254042375,0.354,0.113,5.28550165981023e-37,"9","C8orf4"
"CMIP2",2.73470720174748e-41,0.513720008526544,0.482,0.21,5.85692241398258e-37,"9","CMIP"
"PNP2",3.11722373311627e-41,0.783172306972121,0.649,0.398,6.67615806921512e-37,"9","PNP"
"SVIP",3.21783171900829e-41,0.533675758398674,0.474,0.197,6.89163019260006e-37,"9","SVIP"
"VAMP5",8.22173263499206e-41,0.705644439701375,0.802,0.603,1.76084847843625e-36,"9","VAMP5"
"MSN2",1.02368988397381e-40,0.670040550239273,0.819,0.704,2.19243662450672e-36,"9","MSN"
"MACF1",1.69445717890355e-40,0.609356419662811,0.621,0.347,3.62901894005773e-36,"9","MACF1"
"NBEAL12",1.93716738888669e-40,0.797037544339048,0.925,0.826,4.14883139677863e-36,"9","NBEAL1"
"SH2B32",2.34548878277257e-40,0.350187189878933,0.393,0.138,5.02333332606401e-36,"9","SH2B3"
"CEP112",2.59453641676709e-40,0.339250269651561,0.315,0.098,5.55671864379007e-36,"9","CEP112"
"GIT1",2.94332259452174e-40,0.326942139584315,0.279,0.079,6.3037140006872e-36,"9","GIT1"
"ADA1",3.63481455316115e-40,0.290963765012869,0.287,0.082,7.78468232850522e-36,"9","ADA"
"KAT6A",7.15689278807232e-40,0.445551937609529,0.443,0.179,1.53279172842145e-35,"9","KAT6A"
"KIFC3",1.04258889581129e-39,0.477083125603388,0.373,0.137,2.23291263815904e-35,"9","KIFC3"
